Player,Position,Age,Team,Games,Minutes Played,FG,FGA,FG%,EFG%,FT%,Rebound,Assist,Steal,Block,Points
James Harden,SG,28,HOU,72,35.4,9,20.1,0.449,0.541,0.858,5.4,8.8,1.8,0.7,30.4
Anthony Davis,PF,24,NOP,75,36.4,10.4,19.5,0.534,0.552,0.828,11.1,2.3,1.5,2.6,28.1
LeBron James,PF,33,CLE,82,36.9,10.5,19.3,0.542,0.59,0.731,8.6,9.1,1.4,0.9,27.5
Giannis Antetokounmpo,PF,23,MIL,75,36.7,9.9,18.7,0.529,0.545,0.76,10,4.8,1.5,1.4,26.9
Damian Lillard,PG,27,POR,73,36.6,8.5,19.4,0.439,0.519,0.916,4.5,6.6,1.1,0.4,26.9
Stephen Curry,PG,29,GSW,51,32,8.4,16.9,0.495,0.618,0.921,5.1,6.1,1.6,0.2,26.4
Kevin Durant,PF,29,GSW,68,34.2,9.3,18,0.516,0.586,0.889,6.8,5.4,0.7,1.8,26.4
Russell Westbrook,PG,29,OKC,80,36.4,9.5,21.1,0.449,0.477,0.737,10.1,10.3,1.8,0.3,25.4
DeMarcus Cousins,C,27,NOP,48,36.2,8.5,18,0.47,0.53,0.746,12.9,5.4,1.6,1.6,25.2
Devin Booker,SG,21,PHO,54,34.5,8.4,19.5,0.432,0.501,0.878,4.5,4.7,0.9,0.3,24.9
Kyrie Irving,PG,25,BOS,60,32.2,8.9,18.1,0.491,0.568,0.889,3.8,5.1,1.1,0.3,24.4
LaMarcus Aldridge,C,32,SAS,75,33.5,9.2,18,0.51,0.52,0.837,8.5,2,0.6,1.2,23.1
Victor Oladipo,SG,25,IND,75,34,8.5,17.9,0.477,0.537,0.799,5.2,4.3,2.4,0.8,23.1
DeMar DeRozan,SG,28,TOR,80,33.9,8.1,17.7,0.456,0.488,0.825,3.9,5.2,1.1,0.3,23
Joel Embiid,C,23,PHI,63,30.3,8.1,16.8,0.483,0.514,0.769,11,3.2,0.6,1.8,22.9
Kristaps Porzingis,PF,22,NYK,48,32.4,8.1,18.5,0.439,0.489,0.793,6.6,1.2,0.8,2.4,22.7
Bradley Beal,SG,24,WAS,82,36.3,8.3,18.1,0.46,0.527,0.793,4.4,4.5,1.2,0.4,22.6
Lou Williams,SG,31,LAC,79,32.8,7.4,16.9,0.435,0.505,0.88,2.5,5.3,1.1,0.2,22.6
Jimmy Butler,SG,28,MIN,59,36.7,7.4,15.6,0.474,0.512,0.854,5.3,4.9,2,0.4,22.2
Kemba Walker,PG,27,CHO,80,34.2,7.4,17,0.431,0.516,0.864,3.1,5.6,1.1,0.3,22.1
Paul George,SF,27,OKC,79,36.6,7.3,16.9,0.43,0.521,0.82,5.7,3.3,2,0.5,21.9
C.J. McCollum,SG,26,POR,81,36.1,8.2,18.6,0.443,0.506,0.836,4,3.4,1,0.4,21.4
Karl-Anthony Towns,C,22,MIN,82,35.6,7.8,14.3,0.545,0.596,0.858,12.3,2.4,0.8,1.4,21.3
Donovan Mitchell,SG,21,UTA,79,33.4,7.5,17.2,0.437,0.506,0.805,3.7,3.7,1.5,0.3,20.5
MarShon Brooks,SG,29,MEM,7,27.6,7.3,14.6,0.5,0.593,0.87,3,3.6,1.6,0.4,20.1
Khris Middleton,SF,26,MIL,82,36.4,7.2,15.5,0.466,0.524,0.884,5.2,4,1.5,0.3,20.1
Klay Thompson,SG,27,GSW,73,34.3,7.9,16.1,0.488,0.585,0.837,3.8,2.5,0.8,0.5,20
Blake Griffin,PF,28,DET,25,33.2,7.2,16.7,0.433,0.489,0.784,6.6,6.2,0.4,0.4,19.8
T.J. Warren,SF,24,PHO,65,33,8.1,16.4,0.498,0.507,0.757,5.1,1.3,1,0.6,19.6
Tyreke Evans,PG,28,MEM,52,30.9,7,15.6,0.452,0.523,0.785,5.1,5.2,1.1,0.3,19.4
Dennis Schroder,PG,24,ATL,67,31,7.5,17.1,0.436,0.469,0.849,3.1,6.2,1.1,0.1,19.4
John Wall,PG,27,WAS,41,34.4,6.8,16.3,0.42,0.466,0.726,3.7,9.6,1.4,1.1,19.4
Tobias Harris,PF,25,LAC,32,34.5,7.6,16,0.473,0.541,0.8,6,3.1,1.2,0.6,19.3
Jrue Holiday,SG,27,NOP,81,36.1,7.6,15.4,0.494,0.543,0.786,4.5,6,1.5,0.8,19
Harrison Barnes,PF,25,DAL,77,34.2,7,15.7,0.445,0.494,0.827,6.1,2,0.6,0.2,18.9
Chris Paul,PG,32,HOU,58,31.8,6.3,13.8,0.46,0.55,0.919,5.4,7.9,1.7,0.2,18.6
Nikola Jokic,C,22,DEN,75,32.6,6.7,13.5,0.499,0.554,0.85,10.7,6.1,1.2,0.8,18.5
Eric Gordon,SG,29,HOU,69,31.2,6,14.1,0.428,0.54,0.809,2.5,2.2,0.6,0.4,18
Jeremy Lin,PG,29,BRK,1,25,5,12,0.417,0.458,1,0,4,0,0,18
Eric Bledsoe,PG,28,MIL,71,31.5,6.4,13.4,0.476,0.54,0.793,3.9,5.1,2,0.6,17.8
Evan Fournier,SF,25,ORL,57,32.2,6.5,14.1,0.459,0.538,0.867,3.2,2.9,0.8,0.3,17.8
Andrew Wiggins,SF,22,MIN,82,36.3,6.9,15.9,0.438,0.481,0.643,4.4,2,1.1,0.6,17.7
Aaron Gordon,PF,22,ORL,58,32.9,6.5,14.9,0.434,0.5,0.698,7.9,2.3,1,0.8,17.6
Kevin Love,C,29,CLE,59,28,5.7,12.4,0.458,0.552,0.88,9.3,1.7,0.7,0.4,17.6
Tim Hardaway,SG,25,NYK,57,33.1,6.3,15,0.421,0.496,0.816,3.9,2.7,1.1,0.2,17.5
Gary Harris,SG,23,DEN,67,34.4,6.6,13.6,0.485,0.57,0.827,2.6,2.9,1.8,0.2,17.5
Goran Dragic,PG,31,MIA,75,31.7,6.5,14.3,0.45,0.502,0.801,4.1,4.8,0.8,0.2,17.3
Marc Gasol,C,33,MEM,73,33,5.9,14.2,0.42,0.473,0.834,8.1,4.2,0.7,1.4,17.2
Mike Conley,PG,30,MEM,12,31.1,5.3,14,0.381,0.452,0.803,2.3,4.1,1,0.3,17.1
J.J. Redick,SG,33,PHI,70,30.2,5.8,12.6,0.46,0.569,0.904,2.5,3,0.5,0.1,17.1
Zach LaVine,SG,22,CHI,24,27.3,5.7,14.8,0.383,0.442,0.813,3.9,3,1,0.2,16.7
Jamal Murray,PG,20,DEN,81,31.7,5.9,13.1,0.451,0.529,0.905,3.7,3.4,1,0.3,16.7
Dwight Howard,C,32,CHO,81,30.4,6.2,11.2,0.555,0.556,0.574,12.5,1.3,0.6,1.6,16.6
Nikola Vucevic,C,27,ORL,57,29.5,7,14.7,0.475,0.513,0.819,9.2,3.4,1,1.1,16.5
Carmelo Anthony,PF,33,OKC,78,32.1,6.1,15,0.404,0.476,0.767,5.8,1.3,0.6,0.6,16.2
Kawhi Leonard,SF,26,SAS,9,23.3,5.8,12.3,0.468,0.518,0.816,4.7,2.3,2,1,16.2
Kyle Lowry,PG,31,TOR,78,32.2,5.2,12.1,0.427,0.553,0.854,5.6,6.9,1.1,0.2,16.2
Brandon Ingram,SF,20,LAL,59,33.5,6.1,12.9,0.47,0.497,0.681,5.3,3.9,0.8,0.7,16.1
Kyle Kuzma,PF,22,LAL,77,31.2,6.1,13.5,0.45,0.527,0.707,6.3,1.8,0.6,0.4,16.1
Julius Randle,C,23,LAL,82,26.7,6.1,11,0.558,0.563,0.718,8,2.6,0.5,0.5,16.1
Ben Simmons,PG,21,PHI,81,33.7,6.7,12.3,0.545,0.545,0.56,8.1,8.2,1.7,0.9,15.8
Will Barton,SG,27,DEN,81,33.1,5.7,12.7,0.452,0.528,0.805,5,4.1,1,0.6,15.7
Isaiah Thomas,PG,28,LAL,17,26.8,5.1,13.4,0.383,0.456,0.921,2.1,5,0.4,0.1,15.6
D'Angelo Russell,PG,21,BRK,48,25.7,5.8,14,0.414,0.481,0.74,3.9,5.2,0.8,0.4,15.5
Sean Kilpatrick,SG,28,CHI,9,23.8,5.2,11.9,0.439,0.528,0.813,2.8,1.4,0.7,0.3,15.4
Danilo Gallinari,SF,29,LAC,21,32,4.9,12.2,0.398,0.469,0.931,4.8,2,0.6,0.5,15.3
Lauri Markkanen,PF,20,CHI,68,29.7,5.5,12.7,0.434,0.518,0.843,7.5,1.2,0.6,0.6,15.2
Dennis Smith,PG,20,DAL,69,29.7,5.9,14.8,0.395,0.447,0.694,3.8,5.2,1,0.3,15.2
Austin Rivers,SG,25,LAC,61,33.7,5.6,13.2,0.424,0.508,0.642,2.4,4,1.2,0.3,15.1
Avery Bradley,SG,27,DET,40,31.7,5.8,14.3,0.409,0.474,0.763,2.4,2.1,1.2,0.2,15
Andre Drummond,C,24,DET,78,33.7,6,11.3,0.529,0.529,0.605,16,3,1.5,1.6,15
Otto Porter,SF,24,WAS,77,31.6,5.8,11.5,0.503,0.581,0.828,6.4,2,1.5,0.5,14.7
Reggie Jackson,PG,27,DET,45,26.7,5.5,12.8,0.426,0.471,0.836,2.8,5.3,0.6,0.1,14.6
Paul Millsap,PF,32,DEN,38,30.1,5.3,11.4,0.464,0.509,0.696,6.4,2.7,1,1.2,14.6
Nikola Mirotic,PF,26,NOP,30,29.1,5.4,12.7,0.427,0.513,0.81,8.2,1.4,1,0.9,14.6
Dario Saric,PF,23,PHI,78,29.6,5.2,11.4,0.453,0.541,0.86,6.7,2.6,0.7,0.3,14.6
Jaylen Brown,SG,21,BOS,70,30.7,5.3,11.5,0.465,0.54,0.644,4.9,1.6,1,0.4,14.5
Zach Randolph,PF,36,SAC,59,25.6,6.1,12.9,0.473,0.507,0.785,6.7,2.2,0.7,0.2,14.5
Bojan Bogdanovic,SF,28,IND,80,30.8,5.1,10.7,0.474,0.565,0.868,3.4,1.5,0.7,0.1,14.3
Jusuf Nurkic,C,23,POR,79,26.4,6.1,12,0.505,0.505,0.63,9,1.8,0.8,1.4,14.3
Dion Waiters,SG,26,MIA,30,30.6,5.4,13.7,0.398,0.461,0.739,2.6,3.8,0.8,0.3,14.3
Jeff Teague,PG,29,MIN,70,33,5.1,11.3,0.446,0.499,0.845,3,7,1.5,0.3,14.2
Enes Kanter,C,25,NYK,71,25.8,5.9,10,0.592,0.592,0.848,11,1.5,0.5,0.5,14.1
Taurean Waller-Prince,SF,23,ATL,82,30,5.1,11.9,0.426,0.516,0.844,4.7,2.6,1,0.5,14.1
Hassan Whiteside,C,28,MIA,54,25.3,5.8,10.7,0.54,0.542,0.703,11.4,1,0.7,1.7,14
Steven Adams,C,24,OKC,76,32.7,5.9,9.4,0.629,0.629,0.557,9,1.2,1.2,1,13.9
Clint Capela,C,23,HOU,74,27.5,6,9.1,0.652,0.652,0.56,10.8,0.9,0.8,1.9,13.9
Rondae Hollis-Jefferson,SF,23,BRK,68,28.2,5,10.6,0.472,0.481,0.788,6.8,2.5,1,0.7,13.9
Jonathon Simmons,SG,28,ORL,69,29.4,5.1,11,0.465,0.511,0.768,3.5,2.5,0.8,0.2,13.9
Jayson Tatum,SF,19,BOS,80,30.5,5,10.4,0.475,0.538,0.826,5,1.6,1,0.7,13.9
Marco Belinelli,SG,31,PHI,28,26.3,4.9,10,0.495,0.597,0.87,1.8,1.6,0.7,0.3,13.6
Marcus Morris,PF,28,BOS,54,26.8,4.9,11.3,0.429,0.499,0.805,5.4,1.3,0.6,0.2,13.6
DeMarre Carroll,SF,31,BRK,73,29.9,4.5,10.8,0.414,0.506,0.764,6.6,2,0.8,0.4,13.5
Rudy Gobert,C,25,UTA,56,32.4,4.9,7.9,0.622,0.622,0.682,10.7,1.4,0.8,2.3,13.5
Buddy Hield,SG,24,SAC,80,25.3,5.2,11.7,0.446,0.54,0.877,3.8,1.9,1.1,0.3,13.5
Kentavious Caldwell-Pope,SG,24,LAL,74,33.2,4.6,10.8,0.426,0.526,0.789,5.2,2.2,1.4,0.2,13.4
Kris Dunn,PG,23,CHI,52,29.3,5.5,12.8,0.429,0.462,0.73,4.3,6,2,0.5,13.4
Michael Beasley,PF,29,NYK,74,22.3,5.5,10.9,0.507,0.528,0.78,5.6,1.7,0.5,0.6,13.2
Allen Crabbe,SG,25,BRK,75,29.3,4.5,11,0.407,0.529,0.852,4.3,1.6,0.6,0.5,13.2
Bobby Portis,PF,22,CHI,73,22.5,5.2,11.1,0.471,0.52,0.769,6.8,1.7,0.7,0.3,13.2
Josh Jackson,SF,20,PHO,77,25.4,5.1,12.1,0.417,0.448,0.634,4.6,1.5,1,0.5,13.1
Ricky Rubio,PG,27,UTA,77,29.3,4.5,10.7,0.418,0.476,0.866,4.6,5.3,1.6,0.1,13.1
Malcolm Brogdon,PG,25,MIL,48,29.9,5.1,10.5,0.485,0.547,0.882,3.3,3.2,0.9,0.3,13
Brook Lopez,C,29,LAL,74,23.4,5,10.7,0.465,0.536,0.703,4,1.7,0.4,1.3,13
Kent Bazemore,SG,28,ATL,65,27.5,4.4,10.4,0.42,0.5,0.796,3.8,3.5,1.5,0.7,12.9
Al Horford,C,31,BOS,72,31.6,5.1,10.5,0.489,0.553,0.783,7.4,4.7,0.6,1.1,12.9
Jeremy Lamb,SG,25,CHO,80,24.6,4.8,10.4,0.457,0.513,0.861,4.1,2.3,0.8,0.4,12.9
Josh Richardson,SF,24,MIA,81,33.2,4.9,10.9,0.451,0.523,0.845,3.5,2.9,1.5,0.9,12.9
Trey Burke,PG,25,NYK,36,21.8,5.4,10.7,0.503,0.552,0.649,2,4.7,0.7,0.1,12.8
Willie Cauley-Stein,C,24,SAC,73,28,5.3,10.6,0.502,0.504,0.619,7,2.4,1.1,0.9,12.8
Wesley Matthews,SF,31,DAL,63,33.8,4.5,11.1,0.406,0.516,0.822,3.1,2.7,1.2,0.3,12.7
Myles Turner,C,21,IND,65,28.2,4.7,9.8,0.479,0.523,0.777,6.4,1.3,0.6,1.8,12.7
Jonas Valanciunas,C,25,TOR,77,22.4,5.1,8.9,0.568,0.59,0.806,8.6,1.1,0.4,0.9,12.7
Jordan Clarkson,SG,25,CLE,28,22.6,4.7,10.3,0.456,0.533,0.81,2.1,1.7,0.7,0.1,12.6
Robert Covington,SF,27,PHI,80,31.7,4.3,10.5,0.413,0.534,0.853,5.4,2,1.7,0.9,12.6
Spencer Dinwiddie,PG,24,BRK,80,28.8,4.1,10.5,0.387,0.471,0.813,3.2,6.6,0.9,0.3,12.6
Serge Ibaka,PF,28,TOR,76,27.5,5,10.3,0.483,0.552,0.797,6.3,0.8,0.4,1.3,12.6
Jabari Parker,PF,22,MIL,31,24,5.2,10.7,0.482,0.529,0.741,4.9,1.9,0.8,0.3,12.6
E'Twaun Moore,SG,28,NOP,82,31.5,5.2,10.1,0.508,0.585,0.706,2.9,2.3,1,0.1,12.5
Darren Collison,PG,30,IND,69,29.2,4.6,9.2,0.495,0.571,0.882,2.6,5.3,1.3,0.2,12.4
Derrick Favors,C,26,UTA,77,28,5.1,9.1,0.563,0.573,0.651,7.2,1.3,0.7,1.1,12.3
Patrick Beverley,SG,29,LAC,11,30.4,4.4,10.8,0.403,0.504,0.824,4.1,2.9,1.6,0.5,12.2
Taj Gibson,PF,32,MIN,82,33.2,5.2,9,0.577,0.581,0.768,7.1,1.2,0.8,0.7,12.2
Justin Holiday,SG,28,CHI,72,31.5,4,10.9,0.371,0.474,0.823,4,2.1,1.1,0.4,12.2
Gerald Green,SG,32,HOU,41,22.7,4.1,10.1,0.407,0.54,0.85,3.2,0.6,0.6,0.4,12.1
Caris LeVert,SF,23,BRK,71,26.3,4.5,10.4,0.435,0.493,0.711,3.7,4.2,1.2,0.3,12.1
Andre Ingram,SG,32,LAL,2,32,4,8.5,0.471,0.618,1,3,3.5,1.5,1.5,12
DeAndre Jordan,C,29,LAC,77,31.5,4.8,7.5,0.645,0.645,0.58,15.2,1.5,0.5,0.9,12
Courtney Lee,SG,32,NYK,76,30.4,4.5,9.9,0.454,0.529,0.919,2.9,2.4,1.1,0.2,12
Dirk Nowitzki,C,39,DAL,77,24.7,4.5,9.8,0.456,0.547,0.898,5.7,1.6,0.6,0.6,12
Dwyane Wade,SG,36,MIA,21,22.2,4.8,11.8,0.409,0.427,0.745,3.4,3.1,0.9,0.7,12
Bogdan Bogdanovic,SG,25,SAC,78,27.9,4.4,9.9,0.446,0.529,0.84,2.9,3.3,0.9,0.2,11.8
Jae Crowder,SF,27,UTA,27,27.6,4.2,10.9,0.386,0.468,0.768,3.8,1.5,0.9,0.3,11.8
Robin Lopez,C,29,CHI,64,26.4,5.3,10.1,0.53,0.533,0.756,4.5,1.9,0.2,0.8,11.8
Kelly Oubre,SF,22,WAS,81,27.5,3.9,9.8,0.403,0.482,0.82,4.5,1.2,1,0.4,11.8
Elfrid Payton,PG,23,PHO,19,29,4.8,11,0.435,0.447,0.685,5.3,6.2,1,0.3,11.8
Thaddeus Young,PF,29,IND,81,32.2,5.2,10.7,0.487,0.521,0.598,6.3,1.9,1.7,0.4,11.8
Trevor Ariza,SF,32,HOU,67,33.9,4,9.7,0.412,0.542,0.854,4.4,1.6,1.5,0.2,11.7
Tyler Johnson,PG,25,MIA,72,28.5,4.3,9.9,0.435,0.518,0.822,3.4,2.3,0.8,0.5,11.7
J.J. Barea,PG,33,DAL,69,23.2,4.4,10,0.439,0.522,0.784,2.9,6.3,0.5,0,11.6
Nicolas Batum,SG,29,CHO,64,31,4.2,10.2,0.415,0.486,0.831,4.8,5.5,1,0.4,11.6
De'Aaron Fox,PG,20,SAC,73,27.8,4.5,10.9,0.412,0.441,0.723,2.8,4.4,1,0.3,11.6
Domantas Sabonis,C,21,IND,74,24.5,4.6,8.9,0.514,0.524,0.75,7.7,2,0.5,0.4,11.6
Rudy Gay,PF,31,SAS,57,21.6,4.4,9.4,0.471,0.506,0.772,5.1,1.3,0.8,0.7,11.5
Joe Ingles,SF,30,UTA,82,31.4,4.1,8.8,0.467,0.609,0.795,4.2,4.8,1.1,0.2,11.5
Markieff Morris,PF,28,WAS,73,27,4.5,9.4,0.48,0.536,0.82,5.6,1.9,0.8,0.5,11.5
Kelly Olynyk,PF,26,MIA,76,23.4,4.2,8.4,0.497,0.58,0.77,5.7,2.7,0.8,0.5,11.5
Reggie Bullock,SF,26,DET,62,27.9,4.3,8.8,0.489,0.603,0.796,2.5,1.5,0.8,0.2,11.3
Terry Rozier,PG,23,BOS,80,25.9,4,10,0.395,0.491,0.772,4.7,2.9,1,0.2,11.3
Wayne Ellington,SG,30,MIA,77,26.5,3.7,9.1,0.407,0.569,0.859,2.8,1,0.7,0.1,11.2
Frank Kaminsky,PF,24,CHO,79,23.2,3.9,9.1,0.429,0.501,0.799,3.6,1.6,0.5,0.2,11.1
Dillon Brooks,SF,22,MEM,82,28.7,4.1,9.4,0.44,0.501,0.747,3.1,1.6,0.9,0.2,11
Draymond Green,PF,27,GSW,70,32.7,4,8.8,0.454,0.516,0.775,7.6,7.3,1.4,1.3,11
Montrezl Harrell,C,24,LAC,76,17,4.6,7.2,0.635,0.636,0.626,4,1,0.5,0.7,11
Ish Smith,PG,29,DET,82,24.9,4.7,9.8,0.486,0.507,0.698,2.7,4.4,0.8,0.2,10.9
Jeff Green,PF,31,CLE,78,23.4,3.8,7.9,0.477,0.52,0.868,3.2,1.3,0.5,0.4,10.8
Joe Harris,SG,26,BRK,78,25.3,3.9,8,0.491,0.612,0.827,3.3,1.6,0.4,0.3,10.8
Rodney Hood,SG,25,CLE,21,25.3,4.2,9.5,0.442,0.505,0.813,2.6,1.4,0.7,0.2,10.8
Ersan Ilyasova,PF,30,PHI,23,24.1,4,9.2,0.439,0.509,0.733,6.7,1.7,0.7,0.4,10.8
James Johnson,PF,30,MIA,73,26.6,4.2,8.4,0.503,0.55,0.698,4.9,3.8,1,0.7,10.8
Damion Lee,SG,25,ATL,15,26.9,4.1,10.1,0.408,0.457,0.759,4.7,1.9,1.3,0.1,10.7
John Collins,PF,20,ATL,74,24.1,4.2,7.4,0.576,0.591,0.715,7.3,1.3,0.6,1.1,10.5
Mike James,PG,27,PHO,32,20.9,3.8,9.8,0.388,0.429,0.762,2.8,3.8,0.8,0.2,10.4
Jamal Crawford,SG,37,MIN,80,20.7,3.9,9.3,0.415,0.485,0.903,1.2,2.3,0.5,0.1,10.3
JaMychal Green,PF,27,MEM,55,28,4.1,8.9,0.457,0.501,0.721,8.4,1.4,0.6,0.5,10.3
D.J. Augustin,PG,30,ORL,75,23.5,3.3,7.2,0.452,0.557,0.868,2.1,3.8,0.7,0,10.2
Lonzo Ball,PG,20,LAL,52,34.2,3.9,10.8,0.36,0.44,0.451,6.9,7.2,1.7,0.8,10.2
Yogi Ferrell,SG,24,DAL,82,27.8,3.8,8.9,0.426,0.518,0.796,3,2.5,0.8,0.1,10.2
Greg Monroe,C,27,BOS,26,19.1,4,7.6,0.53,0.53,0.797,6.3,2.3,1.1,0.7,10.2
Marcus Smart,SG,23,BOS,54,29.9,3.5,9.5,0.367,0.44,0.729,3.5,4.8,1.3,0.4,10.2
Denzel Valentine,SG,24,CHI,77,27.2,3.9,9.4,0.417,0.517,0.745,5.1,3.2,0.8,0.1,10.2
